name,setup_id,cache_type,budget,heavy_ratio,recent_ratio,num_clusters,sequence_length,perplexity,compression_ratio,peak_memory_gb,timestamp,perplexity_std,num_samples,evaluation_mode
SlidingWindow-256,setup_1_baseline,SlidingWindow,256,,,,2048,12.88,8.0,,2025-12-25T19:43:51,,,
SlidingWindow-512,setup_1_baseline,SlidingWindow,512,,,,2048,12.88,4.0,,2025-12-25T19:43:51,,,
SlidingWindow-1024,setup_1_baseline,SlidingWindow,1024,,,,2048,12.88,2.0,,2025-12-25T19:43:51,,,
SlidingWindow-2048,setup_1_baseline,SlidingWindow,2048,,,,2048,12.88,1.0,,2025-12-25T19:43:51,,,
LRU-256,setup_1_baseline,LRU,256,,,,2048,12.88,8.0,,2025-12-25T19:43:51,,,
LRU-512,setup_1_baseline,LRU,512,,,,2048,12.88,4.0,,2025-12-25T19:43:51,,,
LRU-1024,setup_1_baseline,LRU,1024,,,,2048,12.88,2.0,,2025-12-25T19:43:51,,,
LRU-2048,setup_1_baseline,LRU,2048,,,,2048,12.88,1.0,,2025-12-25T19:43:51,,,
SemanticCluster-256-K8,setup_3_semantic,SemanticCluster,256,,,8.0,2048,44.67,8.0,,2025-12-25T20:14:37,,,
SemanticCluster-256-K16,setup_3_semantic,SemanticCluster,256,,,16.0,2048,46.51,8.0,,2025-12-25T20:14:37,,,
SemanticCluster-256-K32,setup_3_semantic,SemanticCluster,256,,,32.0,2048,38.76,8.0,,2025-12-25T20:14:37,,,
SemanticCluster-256-K64,setup_3_semantic,SemanticCluster,256,,,64.0,2048,27.4,8.0,,2025-12-25T20:14:37,,,
SemanticCluster-512-K8,setup_3_semantic,SemanticCluster,512,,,8.0,2048,17.12,4.0,,2025-12-25T20:14:37,,,
SemanticCluster-512-K16,setup_3_semantic,SemanticCluster,512,,,16.0,2048,17.12,4.0,,2025-12-25T20:14:37,,,
SemanticCluster-512-K32,setup_3_semantic,SemanticCluster,512,,,32.0,2048,17.12,4.0,,2025-12-25T20:14:37,,,
SemanticCluster-512-K64,setup_3_semantic,SemanticCluster,512,,,64.0,2048,17.12,4.0,,2025-12-25T20:14:37,,,
SemanticCluster-1024-K8,setup_3_semantic,SemanticCluster,1024,,,8.0,2048,17.12,2.0,,2025-12-25T20:14:37,,,
SemanticCluster-1024-K16,setup_3_semantic,SemanticCluster,1024,,,16.0,2048,17.12,2.0,,2025-12-25T20:14:37,,,
SemanticCluster-1024-K32,setup_3_semantic,SemanticCluster,1024,,,32.0,2048,17.12,2.0,,2025-12-25T20:14:37,,,
SemanticCluster-1024-K64,setup_3_semantic,SemanticCluster,1024,,,64.0,2048,17.12,2.0,,2025-12-25T20:14:37,,,
SlidingWindow-256-comprehensive,setup_5_comprehensive,SlidingWindow,256,,,,2048,1054.43,8.0,,2025-12-25T20:09:02,809.33,14.0,ultra_thorough
SlidingWindow-512-comprehensive,setup_5_comprehensive,SlidingWindow,512,,,,2048,18.71,4.0,,2025-12-25T20:09:02,5.22,14.0,ultra_thorough
LRU-256-comprehensive,setup_5_comprehensive,LRU,256,,,,2048,26.69,8.0,,2025-12-25T20:09:02,7.7,14.0,ultra_thorough
LRU-512-comprehensive,setup_5_comprehensive,LRU,512,,,,2048,18.71,4.0,,2025-12-25T20:09:02,5.22,14.0,ultra_thorough
H2O-256-50/50-comprehensive,setup_5_comprehensive,H2O,256,0.5,0.5,,2048,31.5,8.0,,2025-12-25T20:09:02,14.31,14.0,ultra_thorough
H2O-512-50/50-comprehensive,setup_5_comprehensive,H2O,512,0.5,0.5,,2048,18.71,4.0,,2025-12-25T20:09:02,5.22,14.0,ultra_thorough
H2O-256-70/30-comprehensive,setup_5_comprehensive,H2O,256,0.7,0.3,,2048,29.98,8.0,,2025-12-25T20:09:02,11.89,14.0,ultra_thorough
SemanticCluster-256-K16-comprehensive,setup_5_comprehensive,SemanticCluster,256,,,16.0,2048,1221.33,8.0,,2025-12-25T20:09:02,1120.76,14.0,ultra_thorough
SemanticCluster-512-K32-comprehensive,setup_5_comprehensive,SemanticCluster,512,,,32.0,2048,18.71,4.0,,2025-12-25T20:09:02,5.22,14.0,ultra_thorough
SlidingWindow-512-seq1024,setup_4_sequence_length,SlidingWindow,512,,,,1024,17.79,2.0,,2025-12-25T20:04:08,,,
SlidingWindow-512-seq2048,setup_4_sequence_length,SlidingWindow,512,,,,2048,17.12,4.0,,2025-12-25T20:04:08,,,
SlidingWindow-512-seq4096,setup_4_sequence_length,SlidingWindow,512,,,,4096,17.12,8.0,,2025-12-25T20:04:08,,,
H2O-512-50/50-seq1024,setup_4_sequence_length,H2O,512,0.5,0.5,,1024,17.79,2.0,,2025-12-25T20:04:08,,,
H2O-512-50/50-seq2048,setup_4_sequence_length,H2O,512,0.5,0.5,,2048,17.12,4.0,,2025-12-25T20:04:08,,,
H2O-512-50/50-seq4096,setup_4_sequence_length,H2O,512,0.5,0.5,,4096,17.12,8.0,,2025-12-25T20:04:08,,,
H2O-256-50/50,setup_2_h2o,H2O,256,0.5,0.5,,2048,12.88,8.0,,2025-12-25T19:47:48,,,
H2O-256-70/30,setup_2_h2o,H2O,256,0.7,0.3,,2048,12.88,8.0,,2025-12-25T19:47:48,,,
H2O-256-30/70,setup_2_h2o,H2O,256,0.3,0.7,,2048,12.88,8.0,,2025-12-25T19:47:48,,,
H2O-256-80/20,setup_2_h2o,H2O,256,0.8,0.2,,2048,12.88,8.0,,2025-12-25T19:47:48,,,
H2O-256-20/80,setup_2_h2o,H2O,256,0.2,0.8,,2048,12.88,8.0,,2025-12-25T19:47:48,,,
H2O-512-50/50,setup_2_h2o,H2O,512,0.5,0.5,,2048,12.88,4.0,,2025-12-25T19:47:48,,,
H2O-512-70/30,setup_2_h2o,H2O,512,0.7,0.3,,2048,12.88,4.0,,2025-12-25T19:47:48,,,
