name,cache_type,budget,compression_ratio,perplexity,peak_memory_gb
H2O-2048-50/50,H2O,2048,1.0,17.12,
H2O-2048-70/30,H2O,2048,1.0,17.12,
H2O-2048-30/70,H2O,2048,1.0,17.12,
H2O-2048-80/20,H2O,2048,1.0,17.12,
H2O-2048-20/80,H2O,2048,1.0,17.12,
SlidingWindow-2048,SlidingWindow,2048,1.0,17.12,
LRU-2048,LRU,2048,1.0,17.12,
SemanticCluster-1024-K8,SemanticCluster,1024,2.0,12.88,
SemanticCluster-1024-K16,SemanticCluster,1024,2.0,12.88,
SemanticCluster-1024-K32,SemanticCluster,1024,2.0,12.88,
SemanticCluster-1024-K64,SemanticCluster,1024,2.0,12.88,
H2O-1024-50/50,H2O,1024,2.0,17.12,
H2O-1024-70/30,H2O,1024,2.0,17.12,
H2O-1024-30/70,H2O,1024,2.0,17.12,
H2O-1024-80/20,H2O,1024,2.0,17.12,
H2O-1024-20/80,H2O,1024,2.0,17.12,
SlidingWindow-1024,SlidingWindow,1024,2.0,17.12,
LRU-1024,LRU,1024,2.0,17.12,
SlidingWindow-512-seq1024,SlidingWindow,512,2.0,17.79,
H2O-512-50/50-seq1024,H2O,512,2.0,17.79,
SemanticCluster-512-K8,SemanticCluster,512,4.0,12.88,
SemanticCluster-512-K16,SemanticCluster,512,4.0,12.88,
SemanticCluster-512-K32,SemanticCluster,512,4.0,12.88,
SemanticCluster-512-K64,SemanticCluster,512,4.0,12.88,
SlidingWindow-512-seq2048,SlidingWindow,512,4.0,17.12,
H2O-512-50/50-seq2048,H2O,512,4.0,17.12,
H2O-512-50/50,H2O,512,4.0,17.12,
H2O-512-70/30,H2O,512,4.0,17.12,
H2O-512-30/70,H2O,512,4.0,17.12,
H2O-512-80/20,H2O,512,4.0,17.12,
H2O-512-20/80,H2O,512,4.0,17.12,
SlidingWindow-512,SlidingWindow,512,4.0,17.12,
LRU-512,LRU,512,4.0,17.12,
SlidingWindow-512-comprehensive,SlidingWindow,512,4.0,18.71,
LRU-512-comprehensive,LRU,512,4.0,18.71,
H2O-512-50/50-comprehensive,H2O,512,4.0,18.71,
SemanticCluster-512-K32-comprehensive,SemanticCluster,512,4.0,18.71,
SemanticCluster-256-K8,SemanticCluster,256,8.0,12.88,
SemanticCluster-256-K16,SemanticCluster,256,8.0,12.88,
SemanticCluster-256-K32,SemanticCluster,256,8.0,12.88,
SemanticCluster-256-K64,SemanticCluster,256,8.0,12.88,
SlidingWindow-512-seq4096,SlidingWindow,512,8.0,17.12,
H2O-512-50/50-seq4096,H2O,512,8.0,17.12,
LRU-256,LRU,256,8.0,18.96,
H2O-256-80/20,H2O,256,8.0,19.23,
H2O-256-70/30,H2O,256,8.0,19.38,
H2O-256-50/50,H2O,256,8.0,19.59,
H2O-256-30/70,H2O,256,8.0,19.99,
H2O-256-20/80,H2O,256,8.0,20.26,
LRU-256-comprehensive,LRU,256,8.0,26.69,
H2O-256-70/30-comprehensive,H2O,256,8.0,29.98,
H2O-256-50/50-comprehensive,H2O,256,8.0,31.5,
SlidingWindow-256,SlidingWindow,256,8.0,44.38,
SlidingWindow-256-comprehensive,SlidingWindow,256,8.0,1054.43,
SemanticCluster-256-K16-comprehensive,SemanticCluster,256,8.0,1221.33,
